datkins,1,C56001,David,Atkins,datkins@aveksa.com,Boston,US,Corporate,,Chief Executive Officer,,10100,directors,1,TRUE,Full Time,0,C56001,101,
jinman,18,C56009,Jack,Inman,jinman@anycompany.com,New York,US,Customer Support,,VP of Customer Support,,20200,datkins,2,TRUE,Full Time,0,C56001,202,
dtaneja,14,C56005,Deepak,Taneja,dtaneja@aveksa.com,Dublin,EMEA,Development,,VP of Development,,30200,datkins,2,TRUE,Full Time,0,C56001,302,
dpeterson,11,C56002,Dan,Peterson,dpeterson@anycompany.com,Hong Kong,AsiaPac,Finance,Aerostar,VP of Finance,,40200,datkins,2,TRUE,Full Time,0,C56001,Senior Finance Management,
pmahoney,16,C56007,Peter,Mahoney,pmahoney@anycompany.com,London,EMEA,Human Resources,,VP of Human Resources,,50200,datkins,2,TRUE,Full Time,0,C56001,502,
jbarron,19,C56010,Jeff,Barron,jbarron@anycompany.com,Miami,US,Information Technology,,VP of Information Technology,,60200,datkins,2,TRUE,Full Time,0,C56001,602,
chammel,12,C56003,Chuck,Hammel,chammel@aveksa.com,Hong Kong,AsiaPac,Manufacturing,,VP of Manufacturing,,70200,datkins,2,TRUE,Full Time,0,C56001,702,
krhodes,13,C56004,Karen,Rhodes,krhodes@anycompany.com,Los Angeles,US,Marketing,,VP of Marketing,,80200,datkins,2,TRUE,Full Time,0,C56001,802,
jshinn,15,C56006,Jerry,Shinn,jshinn@anycompany.com,London,EMEA,Sales,,VP of Sales,,90200,datkins,2,TRUE,Full Time,0,C56001,902,
gmorrow,801,C56046,Gary,Morrow,gmorrow@anycompany.com,Hong Kong,AsiaPac,Customer Support,,Director of Customer Support,,20300,jinman,3,TRUE,Full Time,0,C56009,203,
lmyers,802,C56047,Lori,Myers,lmyers@anycompany.com,Boston,US,Customer Support,,Director of Customer Support,,20300,jinman,3,TRUE,Full Time,0,C56009,203,
ebush,803,C56048,Edward,Bush,ebush@anycompany.com,New York,US,Customer Support,,Director of Customer Support,,20300,jinman,3,TRUE,Full Time,0,C56009,203,
phouston,804,C56049,Peter,Houston,phouston@anycompany.com,London,EMEA,Customer Support,,Director of Customer Support,,20300,jinman,3,TRUE,Full Time,0,C56009,203,
cbauer,805,C56050,Clarence,Bauer,cbauer@anycompany.com,Chicago,US,Customer Support,,Director of Customer Support,,20300,jinman,3,TRUE,Full Time,0,C56009,203,
tgreer,401,C56026,Terry,Greer,tgreer@anycompany.com,Hong Kong,AsiaPac,Development,,Director of Development,,30300,dtaneja,3,TRUE,Contractor,0,C56005,303,
tmendez,402,C56027,Timothy,Mendez,tmendez@anycompany.com,London,EMEA,Development,,Director of Development,,30300,dtaneja,3,TRUE,Contractor,0,C56005,303,
mrandolph,403,C56028,Michelle,Randolph,mrandolph@anycompany.com,Boston,US,Development,,Director of Development,,30300,dtaneja,3,TRUE,Full Time,0,C56005,303,
dbenson,404,C56029,Denise,Benson,dbenson@aveksa.com,Boston,US,Development,,Director of Development,,30300,dtaneja,3,TRUE,Full Time,0,C56005,303,
havila,405,C56030,Harry,Avila,havila@anycompany.com,London,EMEA,Development,,Director of Development,,30300,dtaneja,3,TRUE,Full Time,0,C56005,303,
vrandall,102,C56012,Victor,Randall,vrandall@anycompany.com,Boston,US,Marketing,Aerostar,Director of Marketing,,80300,krhodes,3,TRUE,Contractor,0,C56002,Senior Finance Management,
cparsons,702,C56042,Chris,Parsons,cparsons@anycompany.com,Chicago,US,Finance,Aerostar,Accounts Payable Director,,40310,dpeterson,3,TRUE,Full Time,0,C56002,Senior Finance Management,
jhamilton,101,C56011,Jennifer,Hamilton,jhamilton@anycompany.com,Boston,US,Finance,Aerostar,Accounts Receivable Director,,40300,dpeterson,3,TRUE,Full Time,0,C56002,Senior Finance Management,
jwiggins,701,C56041,Jane,Wiggins,jwiggins@anycompany.com,Chicago,US,Finance,Aerostar,Accounts Receivable Director,,40300,dpeterson,3,TRUE,Full Time,0,C56002,Senior Finance Management,
bstevenson,103,C56013,Betty,Stevenson,bstevenson@anycompany.com,Boston,US,Finance,Aerostar,Controller,,40320,dpeterson,3,TRUE,Full Time,0,C56002,Senior Finance Management,
lcolon,703,C56043,Lisa,Colon,lcolon@anycompany.com,Chicago,US,Finance,Aerostar,Controller,,40320,dpeterson,3,TRUE,Full Time,0,C56002,Senior Finance Management,
